month_year,state,fips,new_case,state_pop,new_case_per
03/2021,ID,16,9396,1753860,535.7326126372686
03/2021,IL,17,57889,12768320,453.37992782135785
03/2021,IN,18,25339,6699629,378.21497279924006
03/2021,KS,20,8709,2918515,298.4051820874657
03/2021,KY,21,19548,4472265,437.09395574725556
03/2021,LA,22,14833,4682509,316.7746180519888
03/2021,MA,25,54432,6895917,789.3366465982698
03/2021,MD,24,30226,6079602,497.1707029506208
03/2021,ME,23,6025,1341582,449.096663491311
03/2021,MI,26,110358,9991177,1104.5545484781223
03/2021,MN,27,34044,5628162,604.8866397235901
03/2021,MO,29,17032,6135888,277.5800340553804
03/2021,MP,69,16,57557,27.798530152718175
03/2021,MS,28,9712,2982785,325.60174467821184
03/2021,MT,30,4598,1062330,432.8221927273069
03/2021,NC,37,51667,10390149,497.2690959484796
03/2021,ND,38,3447,755238,456.41241568882924
03/2021,NE,31,9560,1932549,494.6834465775512
03/2021,NH,33,8752,1350575,648.020287655258
03/2021,NJ,34,119460,9032872,1322.5029647270546
03/2021,NM,35,6520,2090708,311.8560793759817
03/2021,NV,32,10008,3056824,327.39863335278704
03/2021,NY,36,107227,19862512,539.8461181546423
03/2021,NYC,36061,120593,8400000,1435.6309523809525
03/2021,OH,39,50144,11694664,428.7767480963968
03/2021,OK,40,9213,3940521,233.80157090902446
03/2021,OR,41,9415,4199563,224.18999310166322
03/2021,PA,42,93719,12823989,730.8100467023171
03/2021,PR,72,7684,3400000,225.99999999999997
03/2021,PW,70,0,18092,0.0
03/2021,RI,44,11183,1061712,1053.2988230329881
03/2021,SC,45,30390,5088916,597.180224629371
03/2021,SD,46,5332,877790,607.4345800248351
03/2021,TN,47,35527,6782564,523.7989645213815
03/2021,TX,48,139281,28704330,485.22644493008545
03/2021,UT,49,14406,3159345,455.9805909136229
03/2021,VA,51,43628,8525660,511.72577841480893
03/2021,VI,78,261,106290,245.55461473327688
03/2021,VT,50,3924,623960,628.8864670812231
03/2021,WA,53,24184,7530552,321.14511658640697
03/2021,WI,55,18674,5818049,320.96670206799564
03/2021,WV,54,9883,1803077,548.1185772986955
03/2021,WY,56,1916,573720,333.9608171233354
04/2020,AK,02,227,738068,30.755973704319928
04/2020,AL,01,6412,4888949,131.15293286962086
04/2020,AR,05,2695,3020327,89.2287490725342
04/2020,AS,60,0,55197,0.0
04/2020,AZ,04,6359,7123898,89.26292880667297
04/2020,CA,06,44933,39776830,112.96274740847875
04/2020,CO,08,12900,5684203,226.94474493609746
04/2020,CT,09,24572,3588683,684.7080112676433
04/2020,DE,10,4632,971180,476.94557136679094
04/2020,FL,12,26981,21312211,126.59878414304363
04/2020,GA,13,21005,10545138,199.19132400163946
04/2020,GU,66,75,168783,44.43575478573079
04/2020,HI,15,324,1426393,22.714637550801218
04/2020,IA,19,6648,3160553,210.34293682149928
04/2020,ID,16,1490,1753860,84.955469649801
04/2020,IL,17,46924,12768320,367.503320718779
04/2020,IN,18,15676,6699629,233.98310563167004
04/2020,KS,20,3810,2918515,130.5458426631352
04/2020,KY,21,4206,4472265,94.04630539558815
04/2020,LA,22,22807,4682509,487.06793729600946
04/2020,MA,25,55585,6895917,806.0566854270432
04/2020,MD,24,21812,6079602,358.77348550118904
04/2020,ME,23,820,1341582,61.12186955400416
04/2020,MI,26,34532,9991177,345.62494488887546
04/2020,MN,27,4447,5628162,79.01336173336873
04/2020,MO,29,6142,6135888,100.09961068389774
04/2020,MP,69,12,57557,20.848897614538632
04/2020,MS,28,6218,2982785,208.46289625299843
04/2020,MT,30,250,1062330,23.533177073037567
04/2020,NC,37,9177,10390149,88.32404617104143
04/2020,ND,38,941,755238,124.59648481670678
04/2020,NE,31,4281,1932549,221.5209032216001
04/2020,NH,33,1779,1350575,131.72167410177147
04/2020,NJ,34,99957,9032872,1106.5915691044886
04/2020,NM,35,3096,2090708,148.08380701657046
04/2020,NV,32,3894,3056824,127.38711813306882
04/2020,NY,36,104238,19862512,524.7976690964365
04/2020,NYC,36061,120300,8400000,1432.142857142857
04/2020,OH,39,15828,11694664,135.3437772987749
04/2020,OK,40,2789,3940521,70.77744288128397
04/2020,OR,41,1820,4199563,43.337842532663515
04/2020,PA,42,43175,12823989,336.67371361594275
04/2020,PR,72,713,3400000,20.970588235294116
04/2020,PW,70,0,18092,0.0
04/2020,RI,44,8179,1061712,770.3595702035957
04/2020,SC,45,5011,5088916,98.46890772022962
04/2020,SD,46,2341,877790,266.6924890919241
04/2020,TN,47,9451,6782564,139.34258489857228
04/2020,TX,48,24821,28704330,86.47127454289998
04/2020,UT,49,3819,3159345,120.8794860960104
04/2020,VA,51,15417,8525660,180.83057499360754
04/2020,VI,78,36,106290,33.869602032176125
04/2020,VT,50,521,623960,83.49894223988717
04/2020,WA,53,9067,7530552,120.40286024185212
04/2020,WI,55,5503,5818049,94.58497169755702
04/2020,WV,54,963,1803077,53.40870079314417
04/2020,WY,56,439,573720,76.51816216969951
04/2021,AK,02,4871,738068,659.9662903689091
04/2021,AL,01,12362,4888949,252.85598192985853
04/2021,AR,05,5327,3020327,176.37163128363255
04/2021,AS,60,0,55197,0.0
04/2021,AZ,04,20061,7123898,281.601449094302
04/2021,CA,06,66511,39776830,167.2104086725865
04/2021,CO,08,48533,5684203,853.8224268204355
04/2021,CT,09,28345,3588683,789.844073717294
04/2021,DE,10,9353,971180,963.0552523734015
04/2021,FL,12,170907,21312211,801.9205515561008
04/2021,GA,13,40639,10545138,385.3813956725839
04/2021,GU,66,165,168783,97.75866052860775
04/2021,HI,15,2915,1426393,204.36163105118993
04/2021,IA,19,13843,3160553,437.99297148315503
04/2021,ID,16,7120,1753860,405.9617073198545
04/2021,IL,17,90470,12768320,708.5505375805118
04/2021,IN,18,32488,6699629,484.92237405981734
04/2021,KS,20,6758,2918515,231.55611672374476
04/2021,KY,21,16226,4472265,362.8139209103217
04/2021,LA,22,13648,4682509,291.46767256613924
04/2021,MA,25,53393,6895917,774.269759917354
04/2021,MD,24,35412,6079602,582.4723394722221
04/2021,ME,23,10742,1341582,800.6964911574544
04/2021,MI,26,157899,9991177,1580.3843731324148
04/2021,MN,27,56283,5628162,1000.024519550077
04/2021,MO,29,17582,6135888,286.54369180141487
04/2021,MP,69,5,57557,8.687040672724429
04/2021,MS,28,6746,2982785,226.1644738055207
04/2021,MT,30,4193,1062330,394.6984458689861
04/2021,NC,37,53852,10390149,518.2986307511086
04/2021,ND,38,4340,755238,574.6532881025583
04/2021,NE,31,9251,1932549,478.69420128545255
04/2021,NH,33,10710,1350575,792.995575958388
04/2021,NJ,34,97412,9032872,1078.4166984764092
04/2021,NM,35,6081,2090708,290.8584077738259
04/2021,NV,32,11676,3056824,381.96507224491825
04/2021,NY,36,92985,19862512,468.1432036390966
04/2021,NYC,36061,77525,8400000,922.9166666666666
04/2021,OH,39,54746,11694664,468.1280283041907
04/2021,OK,40,6789,3940521,172.28686257477122
04/2021,OR,41,19800,4199563,471.4776275531526
04/2021,PA,42,125866,12823989,981.4886771970874
04/2021,PR,72,24102,3400000,708.8823529411765
04/2021,PW,70,0,18092,0.0
04/2021,RI,44,10613,1061712,999.6119474961195
04/2021,SC,45,25192,5088916,495.03666399681185
04/2021,SD,46,4901,877790,558.3339978810421
04/2021,TN,47,32243,6782564,475.38069673946313
04/2021,TX,48,99922,28704330,348.10775935198626
04/2021,UT,49,11682,3159345,369.76018763382916
04/2021,VA,51,39751,8525660,466.25129315501675
04/2021,VI,78,218,106290,205.09925675039983
04/2021,VT,50,3504,623960,561.5744599012758
04/2021,WA,53,38608,7530552,512.6848602864703
04/2021,WI,55,24409,5818049,419.53926479477917
04/2021,WV,54,11390,1803077,631.6979252688599
04/2021,WY,56,1832,573720,319.3195286899533
05/2020,AK,02,108,738068,14.632798061967188
05/2020,AL,01,11601,4888949,237.29026422652393
05/2020,AR,05,3998,3020327,132.36977320667597
05/2020,AS,60,0,55197,0.0
05/2020,AZ,04,12288,7123898,172.48983632275474
05/2020,CA,06,71118,39776830,178.79252821303257
05/2020,CO,08,10924,5684203,192.18173594433557
05/2020,CT,09,14501,3588683,404.0758127703116
05/2020,DE,10,4705,971180,484.46220062192384
05/2020,FL,12,21688,21312211,101.76325675454319
05/2020,GA,13,20371,10545138,193.1790745649796
05/2020,GU,66,29,168783,17.181825183815906
05/2020,HI,15,37,1426393,2.593955522776682
05/2020,IA,19,12407,3160553,392.5578846486675
05/2020,ID,16,824,1753860,46.9820852291517
05/2020,IL,17,67342,12768320,527.4147264479587
05/2020,IN,18,16739,6699629,249.8496558540779
05/2020,KS,20,5481,2918515,187.80098783114016
05/2020,KY,21,5422,4472265,121.23610743102209
05/2020,LA,22,11872,4682509,253.53928844557478
05/2020,MA,25,34760,6895917,504.06639175036474
05/2020,MD,24,29855,6079602,491.06832980185214
05/2020,ME,23,1226,1341582,91.38464886976718
05/2020,MI,26,43686,9991177,437.24578195341746
05/2020,MN,27,20072,5628162,356.6350790897632
05/2020,MO,29,5393,6135888,87.89273858975261
05/2020,MP,69,8,57557,13.899265076359088
05/2020,MS,28,8987,2982785,301.29560125855534
05/2020,MT,30,62,1062330,5.836227914113317
05/2020,NC,37,19151,10390149,184.31881968198917
05/2020,ND,38,1510,755238,199.93697351033714
05/2020,NE,31,9605,1932549,497.01197744533255
05/2020,NH,33,2505,1350575,185.47655628158378
05/2020,NJ,34,42154,9032872,466.67327955051286
05/2020,NM,35,4278,2090708,204.6196790752224
05/2020,NV,32,3603,3056824,117.86743365008911
05/2020,NY,36,30573,19862512,153.92312915909125
05/2020,NYC,36061,32688,8400000,389.1428571428571
05/2020,OH,39,17486,11694664,149.52118333626345
